file_name,detected_text,confidence,center_coordinates,azimuth
GS__1451.JPG,٧٢ ٥٧٦٨ ٦٧,0.3027025260457449,"(4912, 1841)",262.08
GS__1452.JPG,",2",0.0139616619152527,"(1626, 2447)",326.34000000000003
GS__1452.JPG,,0.0,"(3663, 2257)",149.67000000000002
GS__1453.JPG,,0.0,"(2501, 2367)",45.09
GS__1453.JPG,7,0.7589506423782986,"(1637, 2463)",327.33
GS__1454.JPG,7,0.2774196919909286,"(1635, 2465)",327.15
GS__1454.JPG,7,0.0803351891659645,"(2497, 2373)",44.73
GS__1455.JPG,,0.0,"(1620, 2470)",325.8
GS__1455.JPG,,0.0,"(2532, 2356)",47.88
GS__1456.JPG,7,0.4193459966760571,"(1646, 2477)",328.14
GS__1457.JPG,7,0.743891978928346,"(1642, 2486)",327.78
GS__1458.JPG,٣٢,0.0997732177356694,"(4477, 1363)",222.92999999999998
GS__1458.JPG,غ :,0.0993347344449451,"(4531, 1376)",227.79000000000002
GS__1462.JPG,7,0.4625505547028865,"(1642, 2495)",327.78
GS__1462.JPG,,0.0,"(2516, 2385)",46.44
GS__1463.JPG,7,0.1602387030458993,"(1644, 2475)",327.96
GS__1463.JPG,7,0.3847723795115634,"(3660, 2225)",149.4
GS__1463.JPG,=,0.1721242583772095,"(2515, 2372)",46.35
GS__1464.JPG,",",0.0382109463915805,"(1671, 2535)",330.39
GS__1464.JPG,م ٤٩=,0.4072609530255853,"(3153, 1580)",103.77
GS__1464.JPG,ش٥٣ل٩,0.0421366305501576,"(3238, 1600)",111.42
GS__1464.JPG,rfف,0.0013970091272123,"(75, 2000)",186.75
GS__1464.JPG,,0.0,"(2601, 2397)",54.089999999999996
GS__1465.JPG,7,0.0552775598235735,"(1653, 2497)",328.77
GS__1465.JPG,/,0.5554840768327409,"(3645, 2211)",148.05
GS__1465.JPG,,0.0,"(2523, 2390)",47.07
GS__1466.JPG,",",0.0773200757069156,"(1642, 2470)",327.78
GS__1466.JPG,/,0.6722659774813025,"(3666, 2231)",149.94
GS__1466.JPG,,0.0,"(2524, 2371)",47.160000000000004
GS__1467.JPG,,0.0,"(2522, 2384)",46.980000000000004
GS__1467.JPG,/,0.5354292060446006,"(3638, 2221)",147.42
GS__1468.JPG,",",0.4936502809932932,"(1626, 2468)",326.34000000000003
GS__1469.JPG,ILU=,0.0207917410880327,"(5177, 1671)",285.93
GS__1469.JPG,7,0.0880848370443665,"(1640, 2472)",327.6
GS__1469.JPG,=,0.0310561877920543,"(2489, 2373)",44.01
GS__1470.JPG,7,0.1358170446223718,"(1620, 2454)",325.8
GS__1474.JPG,9,0.1709142167953894,"(3656, 1408)",149.04
GS__1477.JPG,٨ 7,0.0383515367277064,"(2942, 2225)",84.78
GS__1479.JPG,,0.0,"(1617, 2411)",325.53
GS__1479.JPG,لفتته,0.0186759489789041,"(2967, 1384)",87.03
GS__1479.JPG,TOYOTA,0.8889076838898753,"(784, 1653)",250.56
GS__1484.JPG,٠٩١٥٦٢١٥٩٥٢ ,0.934461271160606,"(3914, 1446)",172.26
GS__1485.JPG,ب٤,0.4030607453112056,"(4325, 1636)",209.25000000000003
GS__1486.JPG,,0.0,"(2444, 2371)",39.96
GS__1488.JPG,,0.0,"(1631, 2479)",326.79
GS__1489.JPG,;,0.0549958507864767,"(1640, 2472)",327.6
GS__1490.JPG,;,0.354088873501496,"(1615, 2436)",325.35
GS__1491.JPG,;٤,0.0341789543023088,"(1629, 2452)",326.61
GS__1492.JPG,;,0.1490987053933032,"(1637, 2454)",327.33
GS__1493.JPG,8EE٩ع,0.0669275320982134,"(4407, 1039)",216.63
GS__1493.JPG,;,0.0449603074138771,"(1644, 2481)",327.96
GS__1494.JPG,,0.0,"(1628, 2452)",326.52
GS__1494.JPG,ششلو,0.007429186720401,"(4634, 1063)",237.06
GS__1495.JPG,[fشذف,0.0386949416977214,"(566, 1822)",230.94
GS__1495.JPG,;٤,0.0313051721084548,"(1642, 2483)",327.78
GS__1496.JPG,,0.0,"(1426, 1496)",308.34000000000003
GS__1496.JPG,;,0.114662217437317,"(1633, 2468)",326.97
GS__1497.JPG,٧,0.1097250106240546,"(4155, 1383)",193.95
GS__1497.JPG,٤,0.6967310358737109,"(1422, 1430)",307.98
GS__1497.JPG,ف4,0.1791247061735116,"(4144, 1417)",192.96
GS__1497.JPG,للنا,0.3740909811941827,"(1575, 1473)",321.75
GS__1497.JPG,;,0.1825600308182808,"(1646, 2483)",328.14
GS__1497.JPG, بدن مامسی دد,0.339217050955564,"(1491, 1481)",314.19
GS__1498.JPG,٥fش٨٩پ,0.0124661219924813,"(41, 1815)",183.69
GS__1498.JPG,",٤",0.0189919936875241,"(1642, 2466)",327.78
GS__1501.JPG,میپوماکث,0.0596518623166078,"(3600, 1252)",144.0
GS__1501.JPG,٢٤٥5,0.246916189789772,"(3489, 1291)",134.01000000000002
GS__1501.JPG,;,0.074296492090653,"(1635, 2468)",327.15
GS__1502.JPG,9eosi,0.5648692571628985,"(3921, 1291)",172.89000000000001
GS__1503.JPG,pepsi,0.9418881255155012,"(4735, 1406)",246.14999999999998
GS__1504.JPG,;,0.1030540937258175,"(1647, 2468)",328.23
GS__1505.JPG,لآهعللآ,0.0077576946671768,"(4948, 1805)",265.32
GS__1506.JPG,",2",0.0444181983701424,"(1655, 2489)",328.95
GS__1508.JPG,ر,0.0503846890300687,"(1651, 2493)",328.59000000000003
GS__1511.JPG,ف,0.1440874630159818,"(5660, 1730)",329.40000000000003
GS__1512.JPG,TJ٥lff,0.0083114567588169,"(131, 1816)",191.79
GS__1513.JPG,;,0.2971857084160092,"(1604, 2427)",324.36
GS__1514.JPG,تگلخاءا,0.0578872011360311,"(3109, 1488)",99.81
GS__1515.JPG,z,0.0102437985328942,"(1640, 2448)",327.6
GS__1516.JPG,٥r,0.0098260269250306,"(2997, 1451)",89.73
GS__1516.JPG,<,0.1105048538052821,"(2981, 2218)",88.28999999999999
GS__1517.JPG,,0.0,"(1637, 2457)",327.33
GS__1518.JPG,,0.0,"(3661, 2246)",149.49
GS__1518.JPG,,0.0,"(2501, 2364)",45.09
GS__1519.JPG,,0.0,"(1624, 2438)",326.15999999999997
GS__1519.JPG,,0.0,"(2460, 2361)",41.4
GS__1521.JPG,,0.0,"(1633, 2457)",326.97
GS__1521.JPG,,0.0,"(2456, 2374)",41.04
GS__1522.JPG,٢٧؟٢٨,0.2652341972860536,"(3746, 1566)",157.14
GS__1522.JPG,7,0.1607803442545909,"(1624, 2445)",326.15999999999997
GS__1522.JPG,,0.0,"(3670, 2256)",150.29999999999998
GS__1522.JPG,-,0.366319627040923,"(2452, 2367)",40.68
GS__1523.JPG,7,0.4860334862017659,"(3642, 2264)",147.78
GS__1523.JPG,,0.0,"(2449, 2355)",40.410000000000004
GS__1525.JPG,٤٤,0.5581308178699596,"(3856, 1446)",167.04000000000002
GS__1525.JPG,٤٤ ( ) ٤٤,0.1312006943412776,"(4040, 1469)",183.6
GS__1525.JPG,,0.0,"(2469, 2365)",42.21
GS__1526.JPG,7,0.4366634671052374,"(1649, 2519)",328.41
GS__1526.JPG,,0.0,"(2551, 2395)",49.59
GS__1527.JPG,8٩,0.2039066526076992,"(3188, 2009)",106.92
GS__1527.JPG,,0.0,"(1656, 2497)",329.04
GS__1527.JPG,7,0.6162822194506958,"(3065, 2135)",95.85
GS__1527.JPG,,0.0,"(2527, 2385)",47.43
GS__1530.JPG,5,0.1071660162470147,"(1633, 2465)",326.97
GS__1530.JPG,,0.0,"(2490, 2368)",44.1
GS__1531.JPG,1,0.5658954207356146,"(4448, 1583)",220.32
GS__1531.JPG,اینانرواس,0.2401982516377827,"(4545, 1568)",229.04999999999998
GS__1531.JPG,<,0.2636949571938771,"(2954, 2216)",85.86
GS__1531.JPG,ببرسدلا,0.39040574036059,"(4440, 1550)",219.6
GS__1531.JPG,77,0.0680277694399004,"(4530, 1605)",227.7
GS__1532.JPG,>,0.3234452666461607,"(2884, 2148)",79.56
GS__1532.JPG,7,0.9256364657858284,"(3073, 2130)",96.57
GS__1532.JPG,5,0.9672951198942634,"(1651, 2508)",328.59000000000003
GS__1532.JPG,46ُ,0.0457374125457912,"(4798, 1583)",251.82
GS__1532.JPG,=,0.3662215087402387,"(2527, 2390)",47.43
GS__1533.JPG,نا,0.4547005735389687,"(1867, 796)",348.03
GS__1533.JPG,٤,0.1426322352500761,"(1878, 895)",349.02
GS__1533.JPG,٨,0.2004093475122284,"(1910, 1145)",351.9
GS__1533.JPG,غا,0.2781444403418074,"(1836, 667)",345.24
GS__1533.JPG,/,0.7068933012435288,"(3673, 2237)",150.57
