file_name,detected_text,confidence,center_coordinates,azimuth,longitude,latitude,parcel_name
GS__1710,٠١١٥٤١٢٠٤٧,0.3348689195746011,"(4778, 1674)",250.02,59.5175586,36.33925961111111,['11-04-063-0003']
GS__1711,٩١٥٦٢ ٤ ٦٦٩,0.2507970334200063,"(3059, 1545)",95.31,59.5176484,36.33924430555556,['11-04-042-0001']
GS__1712,٥٤٧٦٦,0.4047467352290768,"(2128, 1530)",11.52,59.5177639,36.33922561111111,['11-04-049-0026-001']
GS__1712,7,0.1093396525011627,"(1608, 2443)",324.72,59.5177639,36.33922561111111,['11-04-140-0032']
GS__1715,=,0.3929221776502665,"(2481, 2374)",43.29,59.518205,36.339149194444445,['11-04-198-0003']
GS__1716,7,0.4330227432967923,"(1633, 2447)",326.97,59.5183697,36.3391235,['11-04-141-0029']
GS__1717,7,0.8949752811559506,"(1622, 2474)",325.98,59.5185103,36.33909838888889,['11-04-141-0029']
GS__1718,7,0.2077615158668777,"(1626, 2466)",326.34000000000003,59.5186287,36.33907719444445,['11-04-141-0029']
GS__1718,77,0.2342809257614108,"(3642, 2226)",147.78,59.5186287,36.33907719444445,['11-04-039-0006']
GS__1719,=,0.1738591715358985,"(1631, 2495)",326.79,59.5187522,36.33904830555556,['11-04-141-0023-002']
GS__1719,7,0.4868565211154418,"(3649, 2212)",148.41,59.5187522,36.33904830555556,['11-04-039-0006']
GS__1720,آ٩٥٥,0.2947878539562225,"(3143, 1574)",102.87,59.5188379,36.33902730555556,['11-04-049-0019-003']
GS__1721,٥٩٩٥٦٢,0.3801812947038617,"(2900, 1521)",81.0,59.5189486,36.33900338888889,['11-04-199-0011']
GS__1723,/,0.8397528289666667,"(3670, 2248)",150.29999999999998,59.5191837,36.33896669444445,['11-04-049-0019-003']
GS__1725,7,0.6151327066666887,"(3655, 2251)",148.95,59.51950111111111,36.33891111111112,['11-04-039-0010']
GS__1725,=,0.3171475097681195,"(2449, 2368)",40.41,59.51950111111111,36.33891111111112,['11-04-192-0002']
GS__1726,7,0.1488695379051998,"(1615, 2443)",325.35,59.519633,36.33888911111112,['11-04-057-0020-001']
GS__1726,7,0.1245448034530918,"(3650, 2252)",148.5,59.519633,36.33888911111112,['11-04-039-0010']
GS__1727,<,0.5396638805987095,"(2985, 2216)",88.65,59.51981311111111,36.33885761111112,['11-04-198-0003']
GS__1727,=,0.2911347276365319,"(2481, 2390)",43.29,59.51981311111111,36.33885761111112,['11-04-192-0002']
GS__1728,7,0.5147859379030173,"(1635, 2468)",327.15,59.51999130555556,36.33882630555556,['11-04-146-0017']
GS__1729,7,0.4586797909505016,"(1617, 2450)",325.53,59.52016319444444,36.33879761111111,['11-04-146-0017']
GS__1729,=,0.1372547244871533,"(2454, 2365)",40.86,59.52016319444444,36.33879761111111,['11-04-045-0010']
GS__1732,<,0.1434781998332832,"(2956, 2216)",86.03999999999999,59.52060288888889,36.33870538888889,['11-04-198-0009']
GS__1733,< 1,0.2436111271381378,"(2979, 2218)",88.11,59.52079019444445,36.33867688888889,['11-04-198-0010']
GS__1734,/,0.4857496304922826,"(3635, 2255)",147.15,59.52095788888889,36.33865211111112,['11-04-044-0001']
GS__1735,٣,0.8683235686494619,"(5336, 949)",300.24,59.52110169444445,36.33862930555556,['11-04-140-0028']
GS__1735,٩١٥٩٥٠٠٠٢٢,0.2759806992044851,"(4031, 1577)",182.79,59.52110169444445,36.33862930555556,['11-04-064-0032-001']
GS__1736,چ,0.1588882656589909,"(1624, 2425)",326.16,59.52124530555555,36.33860288888889,['11-04-147-0001']
GS__1736,7,0.3710853533054639,"(3659, 2254)",149.31,59.52124530555555,36.33860288888889,['11-04-044-0001']
GS__1737,/,0.7486814776723492,"(3586, 2236)",142.74,59.52140138888889,36.33857361111112,['11-04-044-0014-001']
GS__1738,٦٤٩٩١٥٢,0.6426905678025823,"(2839, 1532)",75.50999999999999,59.521644888888886,36.338532,['11-04-192-0005']
GS__1739,7,0.8698055034415688,"(1658, 2513)",329.22,59.52176330555555,36.33850261111111,['11-04-147-0002-002']
GS__1739,٤٥٥٩٥,0.1677598953802107,"(3555, 1645)",139.95,59.52176330555555,36.33850261111111,['11-04-044-0019']
GS__1739,هآ,0.1841176018877961,"(3972, 1805)",177.48,59.52176330555555,36.33850261111111,['11-04-032-0029-002']
GS__1739,تشآشد,0.1567952336188784,"(4051, 1819)",184.59,59.52176330555555,36.33850261111111,['11-04-063-0012-002']
GS__1740,٤٩٥٩٥٧٥,0.48497712965941,"(2974, 1520)",87.66,59.5218765,36.338484,['11-04-192-0004']
GS__1740,٤٧٢f,0.3045742809772491,"(4978, 1773)",268.02000000000004,59.5218765,36.338484,['11-04-135-0002-001']
GS__1742,ت,0.4804263275738982,"(2654, 1759)",58.86,59.5191948,36.34009569444445,['11-04-198-0001']
GS__1742,;,0.1017021071685384,"(1633, 2490)",326.97,59.5191948,36.34009569444445,['11-04-147-0001']
GS__1743,",",0.5242229192017476,"(1655, 2492)",328.95,59.5191691,36.339986,['11-04-147-0001']
GS__1745,<,0.9742200423307992,"(3044, 2209)",93.96,59.5191216,36.33978030555556,['11-04-199-0010']
GS__1748,ا ل~,0.4001156985759735,"(3032, 2210)",92.88,59.5190266,36.33946369444445,['11-04-042-0009']
GS__1748,",",0.1625110535349136,"(1637, 2479)",327.33,59.5190266,36.33946369444445,['11-04-146-0017']
GS__1752,-٥٩٨٥ ٥٩,0.2880718197314645,"(2835, 1356)",75.14999999999999,59.5189178,36.33905211111112,
GS__1753,ا ل~د=,0.1483670077715698,"(3041, 2211)",93.69,59.5188997,36.338970805555554,['11-04-042-0008']
GS__1753,7,0.1023986412093416,"(1640, 2490)",327.6,59.5188997,36.338970805555554,['11-04-141-0023-002']
GS__1754,ازک,0.3579811650107327,"(1703, 1199)",333.27,59.5188813,36.33888411111111,['11-04-057-0020-001']
GS__1755,>,0.6418276082766603,"(1876, 2565)",348.84,59.5188423,36.338756,['11-04-147-0007']
GS__1756,"رایشگاه ,",0.4851447332663139,"(3633, 1223)",146.97,59.5188102,36.33863138888889,['11-04-040-0001-001']
GS__1756,",",0.1850292808175178,"(1633, 2452)",326.97,59.5188102,36.33863138888889,['11-04-140-0009-001']
GS__1757,<,0.7725368615042818,"(2904, 2218)",81.36,59.518785,36.33853388888889,['11-04-042-0009']
GS__1757,7,0.1636068753517685,"(1626, 2421)",326.34000000000003,59.518785,36.33853388888889,['11-04-140-0028']
GS__1757,"رایشگاه ,",0.4029777021365571,"(4861, 1399)",257.49,59.518785,36.33853388888889,['11-04-079-0001']
GS__1760,",",0.1059339415744355,"(1629, 2441)",326.61,59.5187204,36.33828380555556,['11-04-140-0032']
GS__1761,7,0.1233954007126989,"(1628, 2461)",326.52,59.5186837,36.338149694444446,['11-04-062-0012']
GS__1761,١٢ ٢٥٢ ٥ ٦٩٥,0.3180192055100601,"(5419, 1783)",307.71,59.5186837,36.338149694444446,['11-04-081-0014-001']
GS__1762,اثامارلن,0.214665251389945,"(2468, 1127)",42.120000000000005,59.5186549,36.338040694444445,['11-04-192-0002']
GS__1762,7,0.1447512357596316,"(1635, 2466)",327.15,59.5186549,36.338040694444445,['11-04-135-0011']
GS__1762,٥ ٦٩٥,0.525383140759135,"(5302, 1896)",297.18,59.5186549,36.338040694444445,['11-04-079-0016-001']
GS__1762,١٢ ٤٥٢,0.6858702952311257,"(5361, 1910)",302.49,59.5186549,36.338040694444445,['11-04-081-0007']
GS__1763,9ی مارکت,0.6740182362866468,"(1113, 1248)",280.17,59.5186132,36.337891194444445,['11-04-069-0001']
